substance
"1,3-Diacetin"
"1-[(2-chlorophenyl)(methylimino)methyl]cyclopentanol"
"1-phenethyl-4-propionyloxypiperidine"
"1-phenyl-1-propanamine"
"1-propionyl-4-anilinopiperidine"
"2-methyl-1,2,3,4-tetrahydro-b-carboline"
"3,4-MDMA"
"3,4-Methylenedioxy-α-Cyclohexylaminopropiophenone"
"3-monoacetylmorphine (3-MAM)"
"4-ANPP"
"4-Anilino-1-Boc-piperidine"
"4-anilinopiperidine"
"4-fluoro-alpha-PHP"
"6-monoacetylmorphine (6-MAM)"
"ADB-BUTINACA"
"MDA"
"N,N-Dimethylamphetamine (DMA)"
"N,N-dimethylpentylone"
"N,N-dimethyltryptamine (DMT)"
"N-butyl-aniline"
"N-formylmethamphetamine"
"N-methyl-cyclohexanamine"
"N-phenylpropanamide"
"N-piperidinyl etonitazene"
"N-propionyl norfentanyl"
"acetaminophen"
"acetanilide"
"acetyl fentanyl"
"acetylcodeine"
"alprazolam"
"amphetamine"
"benzoic acid"
"benzoylecgonine (BZ)"
"bromazolam"
"buprenorphine"
"caffeine"
"cannabinol"
"cinnamoylcocaine"
"clonazolam"
"cocaine"
"codeine"
"delta-8-THC"
"delta-9-THC"
"despropionyl p-fluorofentanyl"
"dimethyl sulfone (methylsulfonylmethane MSM)"
"diphenhydramine"
"ecgonidine (ED)"
"ecgonine methylester (EME)"
"erythritol"
"ethyl-4-ANPP"
"eutylone"
"fentanyl"
"flualprazolam"
"flubromazolam"
"fluorexetamine"
"gabapentin"
"heroin"
"hydrocotarnine"
"ibuprofen"
"inositol"
"ketamine"
"lactose"
"levamisole"
"levetiracetam"
"lidocaine"
"lysergic acid diethylamide (LSD)"
"mannitol"
"meconin"
"medetomidine"
"melatonin"
"menthol"
"methadone"
"methamphetamine"
"methocarbamol"
"methyl ecgonidine (MED)"
"methylparaben"
"metonitazene"
"morphine"
"naloxone"
"naproxen"
"niacinamide"
"nicotine"
"non-specific hydrocarbon"
"non-specific organic acids"
"non-specific sugars"
"noramidopyrine"
"norcocaine"
"norfentanyl"
"noscapine"
"p-fluoro phenethyl 4-ANPP"
"p-fluoroacetyl fentanyl"
"p-fluorofentanyl"
"papaverine"
"phenacetin"
"phenethyl 4-ANPP"
"phenethyl bromide"
"phenethyl chloride"
"procaine"
"promethazine"
"quetiapine"
"quinine"
"salicylic acid"
"sucrose"
"tadalafil"
"tetracaine"
"tramadol"
"tropacocaine"
"urea"
"valeryl fentanyl"
"vitamin E acetate"
"xylazine"
